City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,qala i naw,34.9874,63.1289,13.73,89,100,5.17,AF,1712890710
134,saudarkrokur,65.7461,-19.6394,0.02,95,100,3.73,IS,1712890637
135,inhambane,-23.865,35.3833,20.6,74,85,5.29,MZ,1712890695
136,cabo san lucas,22.8909,-109.9124,23.17,58,75,2.06,MX,1712890424
137,olonkinbyen,70.9221,-8.7187,-7.33,89,100,8.0,SJ,1712890500
138,punta arenas,-53.15,-70.9167,8.06,76,40,10.29,CL,1712890711
139,mil'kovo,55.6078,37.7956,8.32,64,100,4.68,RU,1712890711
140,west bay,19.3667,-81.4167,28.04,88,20,1.54,KY,1712890528
141,aasiaat,68.7098,-52.8699,-8.11,97,100,2.88,GL,1712890583
142,east london,-33.0153,27.9116,15.3,66,68,6.29,ZA,1712890504
143,lorengau,-2.0226,147.2712,28.38,76,93,1.89,PG,1712890712
144,enugu-ezike,6.9825,7.457,24.82,85,100,3.7,NG,1712890712
145,itoman,26.1247,127.6694,25.43,66,20,5.14,JP,1712890640
146,gadzhiyevo,69.2551,33.3362,-1.22,85,100,9.28,RU,1712890712
147,whitehorse,60.7161,-135.0538,6.43,28,75,7.72,CA,1712890712
148,rio grande,-32.035,-52.0986,20.05,62,100,6.68,BR,1712890595
149,kondopoga,62.2057,34.2614,3.18,99,100,1.96,RU,1712890712
150,dudinka,69.4058,86.1778,-24.07,97,46,4.92,RU,1712890595
151,pisco,-13.7,-76.2167,22.03,83,0,3.6,PE,1712890713
152,tangalle,6.024,80.7911,28.09,73,95,4.87,LK,1712890713
153,walvis bay,-22.9575,14.5053,14.53,100,60,1.54,NA,1712890713
154,bilibino,68.0546,166.4372,-7.24,72,85,1.94,RU,1712890506
155,borba,-4.3878,-59.5939,24.52,98,96,0.24,BR,1712890713
156,buka,40.8108,69.1986,17.17,68,100,2.07,UZ,1712890694
157,sechura,-5.5569,-80.8222,24.46,70,65,6.13,PE,1712890713
158,luderitz,-26.6481,15.1594,23.24,39,0,3.46,NA,1712890714
159,kuchera,26.9839,73.9719,29.25,32,7,4.34,IN,1712890714
160,defuniak springs,30.721,-86.1152,16.54,87,0,0.0,US,1712890427
161,sandnessjoen,66.0217,12.6316,1.29,86,73,7.42,NO,1712890586
162,lazaro cardenas,17.9583,-102.2,23.67,83,7,1.28,MX,1712890714
163,el fasher,13.6279,25.3494,21.45,16,81,2.91,SD,1712890714
164,altamira,-3.2033,-52.2064,23.72,99,100,0.6,BR,1712890560
165,peace river,56.2501,-117.286,12.17,32,100,3.09,CA,1712890714
166,jamaame,0.0697,42.745,28.06,77,92,2.35,SO,1712890715
167,russkiy,43.0147,131.8642,10.92,97,47,3.06,RU,1712890715
168,ola,59.5833,151.2833,-0.48,91,39,1.1,RU,1712890715
169,wonju,37.3514,127.9453,19.89,34,63,1.51,KR,1712890715
170,mitsamiouli,-11.3847,43.2844,28.42,77,98,4.45,KM,1712890589
171,fort mcmurray,56.7268,-111.381,11.77,30,100,4.12,CA,1712890715
172,lethem,3.3803,-59.7968,29.32,58,41,6.75,GY,1712890715
173,sao jose do campestre,-6.3156,-35.7139,23.54,96,86,1.46,BR,1712890715
174,darwin,-12.4611,130.8418,30.03,66,0,5.66,AU,1712890624
175,mana,5.6592,-53.7767,25.44,91,96,3.86,GF,1712890716
176,lebu,-37.6167,-73.65,9.78,96,1,1.64,CL,1712890565
177,chonchi,-42.6128,-73.8092,6.73,72,0,0.8,CL,1712890659
178,sao gabriel da cachoeira,-0.1303,-67.0892,24.39,96,34,0.96,BR,1712890716
179,tanque verde,32.2517,-110.7373,27.4,20,10,2.24,US,1712890716
180,buriti dos lopes,-3.175,-41.8669,23.71,98,69,1.57,BR,1712890456
181,el granada,37.5027,-122.4694,18.04,81,0,9.77,US,1712890679
182,urengoy,65.9667,78.3667,-15.81,86,100,9.69,RU,1712890717
183,qamdo,31.1667,97.2333,3.53,35,8,3.07,CN,1712890559
184,sao vicente,-23.9631,-46.3919,25.71,26,100,1.0,BR,1712890588
185,nador,35.174,-2.9287,16.14,72,0,2.06,MA,1712890717
186,keflavik,64.0049,-22.5624,3.26,100,75,5.66,IS,1712890697
187,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,27,0,3.0,RU,1712890510
188,caluula,11.9661,50.7569,27.87,71,33,1.85,SO,1712890483
189,arteche,12.2645,125.4048,29.68,68,71,3.45,PH,1712890717
190,tralee,52.2704,-9.7026,11.18,98,100,2.38,IE,1712890718
191,aykhal,66.0,111.5,-18.42,81,15,3.49,RU,1712890718
192,talnakh,69.4865,88.3972,-24.33,97,94,4.62,RU,1712890500
193,mount gambier,-37.8333,140.7667,15.64,50,100,2.93,AU,1712890515
194,podhum,43.7231,17.0011,9.03,94,12,3.64,BA,1712890718
195,orapa,-21.2833,25.3667,17.26,73,51,6.39,BW,1712890630
196,umba,66.6871,34.3429,-0.52,86,14,5.19,RU,1712890718
197,olyokminsk,60.3736,120.4264,-5.22,60,100,2.77,RU,1712890700
198,muisne,0.6,-80.0333,25.36,85,48,1.04,EC,1712890591
199,hammerfest,70.6634,23.6821,0.25,86,100,4.63,NO,1712890719
200,pontianak,-0.0333,109.3333,29.99,79,75,3.09,ID,1712890719
201,camacupa,-12.0167,17.4833,17.26,98,100,1.23,AO,1712890719
202,bel ombre,-4.6167,55.4167,29.91,70,20,7.2,SC,1712890719
203,kone,-21.0595,164.8658,23.97,81,100,0.55,NC,1712890629
204,kapuskasing,49.4169,-82.4331,11.05,57,100,3.09,CA,1712890719
205,alofi,-19.0595,-169.9187,27.94,89,75,3.09,NU,1712890697
206,papao,-17.75,-149.55,28.82,85,100,9.91,PF,1712890502
207,codrington,-38.2667,141.9667,16.23,54,100,4.58,AU,1712890720
208,esmeraldas,-19.7625,-44.3139,24.48,88,86,2.64,BR,1712890655
209,puerto padre,21.195,-76.6028,25.4,78,96,1.33,CU,1712890720
210,ambikapur,23.1167,83.2,27.25,34,78,1.48,IN,1712890720
211,kill devil hills,36.0307,-75.676,20.0,95,100,9.26,US,1712890634
212,quellon,-43.1167,-73.6167,8.59,76,0,2.53,CL,1712890720
213,fontanelas,38.8472,-9.4372,20.64,70,39,3.61,PT,1712890721
214,chebba,35.2372,11.115,14.93,75,100,6.99,TN,1712890721
215,mildura,-34.2,142.15,19.48,53,0,3.7,AU,1712890721
216,la passe,45.5549,-0.8967,11.1,93,9,3.03,FR,1712890721
217,karratha,-20.7377,116.8463,30.32,49,0,4.6,AU,1712890721
218,toliara,-23.35,43.6667,22.65,81,100,6.21,MG,1712890459
219,flin flon,54.7682,-101.865,1.28,77,100,1.79,CA,1712890721
220,fedorovskiy,45.0972,40.9517,11.67,73,92,2.95,RU,1712890721
221,sinabang,2.4803,96.3801,29.71,70,71,1.68,ID,1712890721
222,puerto baquerizo moreno,-0.9,-89.6,25.14,88,63,3.64,EC,1712890532
223,waiuku,-37.25,174.75,23.51,86,84,3.78,NZ,1712890681
224,port lincoln,-34.7333,135.8667,16.3,57,32,3.92,AU,1712890674
225,colonia,50.9333,6.95,14.36,94,75,2.57,DE,1712890515
226,al khafji,28.4391,48.4913,22.88,57,0,4.25,SA,1712890722
227,barbastro,42.0356,0.1269,7.1,69,10,2.1,ES,1712890722
228,kirensk,57.7853,108.1119,-2.24,82,99,2.24,RU,1712890722
229,eforie sud,44.0229,28.6494,15.45,79,9,3.96,RO,1712890722
